epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,478.615,2.01736,4.02827,1.81665,0.35674,0.28125,0.23032,0.10493,1.98344,3.02557,1.91291,0.000143885,0.000143885,0.000143885
2,915.518,1.99496,2.53541,1.75143,0.49026,0.44895,0.40883,0.18299,1.95427,2.06283,1.84205,0.000283165,0.000283165,0.000283165
3,1347.62,1.95137,2.05823,1.70553,0.44723,0.4618,0.44691,0.19519,1.99506,1.88078,1.86714,0.000416703,0.000416703,0.000416703
4,1780.39,1.88347,1.88267,1.69995,0.50269,0.50937,0.4936,0.22055,1.95411,1.79321,1.84881,0.000409161,0.000409161,0.000409161
5,2211.16,1.85106,1.76883,1.65626,0.56404,0.47717,0.51477,0.22923,1.92501,1.73225,1.81881,0.000400548,0.000400548,0.000400548
6,2644.1,1.83937,1.70251,1.64615,0.67318,0.53318,0.57681,0.27394,1.8537,1.61564,1.78136,0.000391935,0.000391935,0.000391935
7,3073.75,1.80352,1.66083,1.63069,0.69582,0.54235,0.59823,0.27996,1.87732,1.56748,1.78204,0.000383322,0.000383322,0.000383322
8,3504.48,1.79227,1.63053,1.61478,0.64166,0.56096,0.57803,0.26497,1.9033,1.56778,1.79283,0.000374709,0.000374709,0.000374709
9,3934.57,1.76239,1.56727,1.58704,0.68187,0.5527,0.59662,0.27588,1.88468,1.52657,1.77658,0.000366096,0.000366096,0.000366096
10,4365.97,1.75727,1.52553,1.59084,0.70229,0.55862,0.60342,0.28008,1.85189,1.53635,1.74635,0.000357483,0.000357483,0.000357483
11,4798.58,1.7659,1.52069,1.58883,0.71856,0.55783,0.61684,0.2861,1.86334,1.49587,1.76504,0.00034887,0.00034887,0.00034887
12,5231.06,1.73328,1.48603,1.57481,0.7104,0.5772,0.62157,0.28556,1.85988,1.48341,1.76793,0.000340257,0.000340257,0.000340257
13,5677.58,1.72355,1.43367,1.54986,0.72301,0.59305,0.6361,0.29795,1.85572,1.45154,1.7504,0.000331644,0.000331644,0.000331644
14,6108.93,1.72009,1.46249,1.5786,0.71313,0.58387,0.62823,0.28298,1.8873,1.4601,1.78271,0.000323031,0.000323031,0.000323031
15,6542.47,1.71951,1.41886,1.5638,0.73502,0.60165,0.64321,0.29207,1.8658,1.42651,1.78862,0.000314418,0.000314418,0.000314418
