epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,480.491,1.96469,3.12713,1.87587,0.59058,0.30202,0.312,0.13962,2.01045,2.15294,2.02608,0.000220768,0.000220768,0.000220768
2,942.937,1.91608,1.98399,1.79669,0.63928,0.38098,0.39982,0.18171,1.95351,1.84882,1.9392,0.000434328,0.000434328,0.000434328
3,1402.92,1.85053,1.83898,1.76256,0.58401,0.37795,0.37102,0.15774,2.08882,2.04448,2.05258,0.000639083,0.000639083,0.000639083
4,1862.21,1.81828,1.73693,1.72156,0.75476,0.39199,0.42839,0.20019,1.94455,1.75888,1.9587,0.00062738,0.00062738,0.00062738
5,2324.36,1.84998,1.74219,1.75935,0.83086,0.37402,0.43702,0.20589,1.9047,1.71754,1.91356,0.000614174,0.000614174,0.000614174
6,2782.46,1.77988,1.65345,1.69857,0.72776,0.41493,0.4498,0.20902,1.88549,1.65803,1.87169,0.000600967,0.000600967,0.000600967
7,3239.61,1.76666,1.59739,1.68783,0.77167,0.39335,0.45248,0.20826,1.86333,1.67448,1.86092,0.00058776,0.00058776,0.00058776
8,3698.74,1.74901,1.57062,1.65893,0.76627,0.41197,0.47479,0.22504,1.83928,1.587,1.83579,0.000574554,0.000574554,0.000574554
9,4156.84,1.72809,1.52286,1.64576,0.67442,0.44489,0.47246,0.22132,1.83919,1.55292,1.83388,0.000561347,0.000561347,0.000561347
10,4615.67,1.72417,1.49129,1.63582,0.74894,0.45302,0.48502,0.2324,1.8421,1.52179,1.84,0.000548141,0.000548141,0.000548141
11,5072.98,1.70556,1.45236,1.62948,0.58282,0.44949,0.46669,0.23116,1.85162,1.49833,1.83751,0.000534934,0.000534934,0.000534934
12,5531.9,1.69107,1.42936,1.61828,0.64732,0.463,0.48969,0.23225,1.83676,1.4772,1.83314,0.000521727,0.000521727,0.000521727
13,5989.08,1.68693,1.40812,1.61135,0.77919,0.42509,0.48138,0.23046,1.82728,1.43188,1.82246,0.000508521,0.000508521,0.000508521
14,6445.97,1.68689,1.39307,1.60951,0.66923,0.44078,0.48203,0.24194,1.79996,1.385,1.79116,0.000495314,0.000495314,0.000495314
15,6904.44,1.68758,1.38333,1.61885,0.62806,0.47323,0.5122,0.2451,1.82027,1.39415,1.81182,0.000482108,0.000482108,0.000482108
16,7360.83,1.64526,1.33741,1.58483,0.77906,0.41848,0.47892,0.22953,1.8504,1.44988,1.8359,0.000468901,0.000468901,0.000468901
17,7818.12,1.64044,1.32319,1.58952,0.61643,0.48731,0.50957,0.24751,1.81077,1.38318,1.80324,0.000455694,0.000455694,0.000455694
18,8274.35,1.61387,1.28745,1.56619,0.70792,0.42671,0.48997,0.24217,1.80226,1.35604,1.7917,0.000442488,0.000442488,0.000442488
19,8729.21,1.63989,1.29337,1.57162,0.62797,0.48338,0.51538,0.25245,1.76946,1.30248,1.78721,0.000429281,0.000429281,0.000429281
20,9184.86,1.63132,1.27292,1.57458,0.80798,0.47037,0.52328,0.24855,1.79312,1.33639,1.79366,0.000416075,0.000416075,0.000416075
21,9640.19,1.59306,1.25222,1.55255,0.78687,0.47836,0.52297,0.25374,1.7655,1.31726,1.78128,0.000402868,0.000402868,0.000402868
22,10094.5,1.61069,1.25468,1.55924,0.7037,0.50105,0.52067,0.25765,1.76634,1.2936,1.77541,0.000389661,0.000389661,0.000389661
23,10548.7,1.59241,1.24301,1.54634,0.72206,0.46523,0.50404,0.25367,1.7578,1.31683,1.76614,0.000376455,0.000376455,0.000376455
24,11005.6,1.57981,1.20921,1.54189,0.63573,0.50481,0.53548,0.25291,1.78531,1.27758,1.77952,0.000363248,0.000363248,0.000363248
25,11461.2,1.55864,1.19272,1.53554,0.8899,0.42749,0.50834,0.25349,1.77281,1.2684,1.78348,0.000350042,0.000350042,0.000350042
26,11918.1,1.56506,1.17179,1.51977,0.60291,0.51369,0.52346,0.2579,1.76252,1.2432,1.77259,0.000336835,0.000336835,0.000336835
27,12372,1.5672,1.19053,1.55557,0.78241,0.44444,0.51062,0.24511,1.79884,1.27049,1.80619,0.000323628,0.000323628,0.000323628
28,12829.3,1.56341,1.1895,1.52732,0.6273,0.4971,0.53135,0.26551,1.75753,1.22116,1.76563,0.000310422,0.000310422,0.000310422
29,13292.9,1.54267,1.15822,1.51915,0.73314,0.50079,0.53685,0.25975,1.77415,1.22085,1.7658,0.000297215,0.000297215,0.000297215
30,13747.6,1.54877,1.16459,1.52645,0.60864,0.50381,0.53172,0.26285,1.76606,1.22149,1.76944,0.000284009,0.000284009,0.000284009
31,14202.3,1.53696,1.13651,1.49972,0.66962,0.52925,0.55063,0.27015,1.73363,1.20401,1.76155,0.000270802,0.000270802,0.000270802
32,14658.8,1.50871,1.1226,1.49816,0.52595,0.51527,0.53499,0.26046,1.76314,1.19476,1.76763,0.000257595,0.000257595,0.000257595
33,15116.2,1.52441,1.12613,1.48986,0.74279,0.49196,0.52905,0.26333,1.76255,1.20855,1.76922,0.000244389,0.000244389,0.000244389
34,15572.3,1.50248,1.09772,1.49834,0.59058,0.52362,0.53488,0.26043,1.77766,1.21343,1.7697,0.000231182,0.000231182,0.000231182
35,16028.5,1.50688,1.11694,1.48629,0.74562,0.48167,0.5336,0.26832,1.73075,1.16643,1.74898,0.000217976,0.000217976,0.000217976
36,16484,1.50135,1.09927,1.49006,0.68614,0.5119,0.52707,0.26536,1.75642,1.17949,1.76359,0.000204769,0.000204769,0.000204769
37,16939.7,1.47238,1.07259,1.47213,0.62754,0.53327,0.54519,0.26612,1.75264,1.16321,1.7664,0.000191562,0.000191562,0.000191562
38,17396,1.48852,1.07653,1.48095,0.7711,0.49998,0.54899,0.27237,1.7518,1.16758,1.77017,0.000178356,0.000178356,0.000178356
39,17856.4,1.47528,1.05864,1.4583,0.63728,0.50124,0.54299,0.2709,1.75538,1.15892,1.76907,0.000165149,0.000165149,0.000165149
40,18312.1,1.47088,1.05009,1.47422,0.71326,0.50092,0.53718,0.26885,1.75876,1.16203,1.76581,0.000151943,0.000151943,0.000151943
41,18757.8,1.47279,1.02325,1.5321,0.61882,0.50321,0.54034,0.26618,1.7566,1.18008,1.77712,0.000138736,0.000138736,0.000138736
42,19198.3,1.44322,0.98318,1.51824,0.64261,0.5081,0.53702,0.26832,1.76481,1.1583,1.7868,0.000125529,0.000125529,0.000125529
43,19640.7,1.43465,0.96469,1.50962,0.64555,0.5088,0.54203,0.27076,1.74018,1.14662,1.75866,0.000112323,0.000112323,0.000112323
44,20082.6,1.41571,0.94858,1.50884,0.61992,0.51555,0.53662,0.27223,1.75085,1.1347,1.77084,9.91162e-05,9.91162e-05,9.91162e-05
45,20525.5,1.41679,0.9423,1.50397,0.5396,0.52647,0.54245,0.27402,1.7398,1.13574,1.7678,8.59096e-05,8.59096e-05,8.59096e-05
46,20967.7,1.40386,0.93495,1.49108,0.66725,0.51529,0.54693,0.27459,1.74741,1.12964,1.7699,7.2703e-05,7.2703e-05,7.2703e-05
47,21409.2,1.40263,0.92503,1.48327,0.64267,0.5214,0.55213,0.27574,1.74551,1.12766,1.76568,5.94964e-05,5.94964e-05,5.94964e-05
48,21852.4,1.39854,0.92363,1.47469,0.66427,0.51441,0.55108,0.27923,1.73725,1.12132,1.76095,4.62898e-05,4.62898e-05,4.62898e-05
49,22297.1,1.38554,0.91373,1.48629,0.65836,0.51876,0.5528,0.27974,1.74154,1.12202,1.76542,3.30832e-05,3.30832e-05,3.30832e-05
50,22741.4,1.38024,0.90471,1.46741,0.64028,0.5193,0.55542,0.27993,1.74008,1.12276,1.7695,1.98766e-05,1.98766e-05,1.98766e-05
