epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,467.168,1.96675,3.13661,1.87476,0.65183,0.26615,0.30589,0.13406,2.04093,2.25116,2.07574,0.000220768,0.000220768,0.000220768
2,915.73,1.92212,1.99548,1.78754,0.49042,0.36155,0.36412,0.16104,1.97137,1.99366,1.96355,0.000434328,0.000434328,0.000434328
3,1354.39,1.87027,1.85563,1.76668,0.58806,0.36496,0.36766,0.16329,2.0196,2.08225,2.02258,0.000639083,0.000639083,0.000639083
4,1789.48,1.82129,1.74128,1.7246,0.82559,0.37412,0.43402,0.20358,1.90353,1.67338,1.91664,0.00062738,0.00062738,0.00062738
5,2223.37,1.83228,1.74105,1.74613,0.82251,0.36415,0.41941,0.18832,1.95486,1.78096,1.94822,0.000614174,0.000614174,0.000614174
6,2657.56,1.78796,1.65757,1.69966,0.7886,0.39437,0.45533,0.219,1.87878,1.63023,1.86318,0.000600967,0.000600967,0.000600967
7,3102.85,1.76018,1.59674,1.68161,0.75041,0.40112,0.46405,0.22058,1.85744,1.60346,1.85048,0.00058776,0.00058776,0.00058776
8,3554.57,1.7585,1.5833,1.66024,0.70005,0.40805,0.44762,0.21396,1.85175,1.62404,1.86788,0.000574554,0.000574554,0.000574554
