epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,665.259,2.01823,4.0425,1.81894,0.35226,0.29821,0.22577,0.10407,1.98361,2.98287,1.89097,0.000143885,0.000143885,0.000143885
2,1238.36,1.99199,2.54219,1.74683,0.45825,0.46754,0.40354,0.182,1.94448,2.07973,1.84132,0.000286025,0.000286025,0.000286025
3,1799.61,1.95047,2.06185,1.70427,0.43936,0.44238,0.4266,0.18856,2.02085,1.96204,1.86649,0.000425294,0.000425294,0.000425294
4,2352.54,1.88452,1.88511,1.69715,0.51209,0.48965,0.48393,0.20476,1.97962,1.82342,1.85575,0.00042208,0.00042208,0.00042208
5,2901.99,1.85451,1.77684,1.65156,0.53788,0.48891,0.49597,0.21856,1.92644,1.72912,1.81051,0.000417774,0.000417774,0.000417774
6,3441.15,1.84497,1.70727,1.64531,0.67255,0.53962,0.57922,0.27343,1.85198,1.60696,1.75608,0.000413467,0.000413467,0.000413467
7,3987.26,1.80376,1.66421,1.62448,0.6641,0.54149,0.5828,0.26709,1.88626,1.59591,1.7787,0.000409161,0.000409161,0.000409161
8,4534.8,1.78747,1.623,1.60846,0.64299,0.55159,0.57776,0.26259,1.90092,1.59526,1.79069,0.000404854,0.000404854,0.000404854
9,5077.41,1.76381,1.56488,1.58847,0.68919,0.5548,0.59934,0.2751,1.8717,1.53993,1.77291,0.000400548,0.000400548,0.000400548
10,5621.98,1.76823,1.5281,1.59111,0.68706,0.56287,0.5961,0.27807,1.8552,1.53207,1.75533,0.000396242,0.000396242,0.000396242
11,6171.46,1.77093,1.52795,1.58903,0.72534,0.56433,0.6248,0.28967,1.86711,1.49435,1.76399,0.000391935,0.000391935,0.000391935
12,6722.49,1.73826,1.49543,1.57367,0.71417,0.56985,0.61069,0.27853,1.87678,1.51563,1.76631,0.000387629,0.000387629,0.000387629
13,7262.09,1.73206,1.43705,1.55378,0.74008,0.5838,0.63554,0.29119,1.87758,1.4554,1.76801,0.000383322,0.000383322,0.000383322
14,7806.48,1.72838,1.47023,1.57958,0.70081,0.59944,0.63469,0.29174,1.8632,1.45157,1.77622,0.000379015,0.000379015,0.000379015
15,8342.25,1.72846,1.42626,1.56322,0.72242,0.59796,0.63618,0.29501,1.84724,1.43326,1.75775,0.000374709,0.000374709,0.000374709
16,8872.67,1.71381,1.40904,1.54769,0.72227,0.59503,0.63786,0.30306,1.85236,1.43825,1.76551,0.000370403,0.000370403,0.000370403
17,9407.41,1.71858,1.40701,1.55583,0.73544,0.58615,0.64385,0.30177,1.84535,1.40267,1.74464,0.000366096,0.000366096,0.000366096
18,9943.23,1.70371,1.38316,1.53884,0.75091,0.60859,0.65799,0.31072,1.84628,1.40285,1.75061,0.00036179,0.00036179,0.00036179
19,10461.9,1.68194,1.3847,1.54234,0.76241,0.59835,0.65396,0.30485,1.83702,1.39166,1.75451,0.000357483,0.000357483,0.000357483
20,10995.5,1.68039,1.3502,1.52692,0.74697,0.60136,0.65056,0.30036,1.84523,1.3865,1.75141,0.000353177,0.000353177,0.000353177
21,11524.1,1.67551,1.34586,1.52006,0.76149,0.59879,0.65021,0.29969,1.88161,1.39133,1.78092,0.00034887,0.00034887,0.00034887
22,12050.6,1.67985,1.34203,1.5267,0.73056,0.61687,0.65348,0.30193,1.86975,1.36397,1.77159,0.000344563,0.000344563,0.000344563
23,12573,1.66301,1.33285,1.531,0.75767,0.61143,0.66521,0.30259,1.89376,1.35056,1.78819,0.000340257,0.000340257,0.000340257
24,13092.1,1.65294,1.3252,1.52987,0.77085,0.61817,0.66635,0.31973,1.83478,1.33654,1.75329,0.000335951,0.000335951,0.000335951
25,13611,1.66353,1.30382,1.51365,0.74353,0.62556,0.66015,0.30569,1.88005,1.35319,1.79371,0.000331644,0.000331644,0.000331644
